2018-06-01,POCZĄTEK,Męskie Granie Orkiestra 2018,1,3,1,"['polish alternative', 'polish pop']"
2018-06-01,KAPITAN POLSKA,Lao Che,2,9,2,"['polish alternative', 'polish alternative rock', 'polish reggae']"
2018-06-01,MAŁOMIASTECZKOWY,Dawid Podsiadło,N,1,3,"['polish alternative', 'polish pop', 'talent show']"
2018-06-01,JA PAS!,Nosowska,3,6,4,"['polish alternative', 'polish pop']"
2018-06-01,SAFARI SONG,Greta Van Fleet,6,4,5,"['modern blues rock', 'modern hard rock', 'rock']"
2018-06-01,OD JOKOHAMY DO FUJISAWY,Artur Andrus,4,10,6,"['classic polish pop', 'poezja spiewana']"
2018-06-01,CHWYTAJ DZIEŃ,Kayah i Zbigniew Wodecki,9,3,7,['Other']
2018-06-01,TAMAGOTCHI,Taconafide & Dawid Podsiadło,5,5,8,['Other']
2018-06-01,NIE RAJ,Lao Che,8,21,9,"['polish alternative', 'polish alternative rock', 'polish reggae']"
2018-06-01,GDYBYM MIAŁ KOGOŚ,Kazik & Kwartet ProForma,7,15,10,"['classic polish pop', 'poezja spiewana']"
2018-06-01,OBŁĄKANY OBŁOK,Strachy na Lachy & Itsmisslilly,10,13,11,['Other']
2018-06-01,PRZYJDŹ W TAKĄ NOC,Krzysztof Zalewski,12,26,12,"['polish alternative rock', 'polish pop']"
2018-06-01,JESZCZE W ZIELONE GRAMY,Daria Zawiałow,11,28,13,"['polish alternative', 'polish indie', 'polish pop']"
2018-06-01,HUNGER,Florence And The Machine,15,5,14,"['baroque pop', 'pop', 'uk alternative pop']"
2018-06-01,WOJNY,Kazik + Zdunek Ensemble,N,1,15,['Other']
2018-06-01,PORUBA,Jaromir Nohavica,14,8,16,"['czech folk', 'czech rock', 'czech singer-songwriter']"
2018-06-01,KANTERSTRAJK,Fisz Emade Tworzywo,13,10,17,['polish alternative']
2018-06-01,SHADOW OF YOUR LOVE,Guns N' Roses,16,5,18,"['glam metal', 'hard rock', 'rock']"
2018-06-01,IMMIGRANT SONG,Led Zeppelin,18,28,19,"['album rock', 'classic rock', 'hard rock', 'rock']"
2018-06-01,ROCK AND ROLL,Led Zeppelin,N,1,20,"['album rock', 'classic rock', 'hard rock', 'rock']"
2018-06-01,"DOBRZE, ŻE CIĘ MAM",Kortez,19,11,21,"['polish alternative', 'polish pop']"
2018-06-01,FOUR OUT OF FIVE,Arctic Monkeys,22,3,22,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
2018-06-01,THE GLORY,The Cranberries,17,21,23,"['irish rock', 'pop rock']"
2018-06-01,CAŁĄ CISZĘ / POKÓJ NOCNY,Król,20,12,24,"['latin', 'reggaeton', 'reggaeton colombiano']"
2018-06-01,LOVE IS BIGGER THAN ANYTHING IN ITS WAY,U2,23,4,25,"['irish rock', 'permanent wave', 'rock']"
2018-06-01,CARRY FIRE,Robert Plant,21,3,26,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'roots rock', 'symphonic rock', 'uk americana']"
2018-06-01,MATTEO,Basia,24,7,27,"['smooth jazz', 'sophisti-pop']"
2018-06-01,TAKE ON ME (MTV UNPLUGGED),a-ha,25,18,28,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']"
2018-06-01,SAILOR,Julia Pietrucha,26,14,29,"['polish alternative', 'polish pop']"
2018-06-01,CUDEM JEST ŚWIAT,Stanisława Celińska,N,1,30,['classic polish pop']
2018-06-08,POCZĄTEK,Męskie Granie Orkiestra 2018,1,4,1,"['polish alternative', 'polish pop']"
2018-06-08,MAŁOMIASTECZKOWY,Dawid Podsiadło,3,2,2,"['polish alternative', 'polish pop', 'talent show']"
2018-06-08,KAPITAN POLSKA,Lao Che,2,10,3,"['polish alternative', 'polish alternative rock', 'polish reggae']"
2018-06-08,SAFARI SONG,Greta Van Fleet,5,5,4,"['modern blues rock', 'modern hard rock', 'rock']"
2018-06-08,GDYBYM MIAŁ KOGOŚ,Kazik & Kwartet ProForma,10,16,5,"['classic polish pop', 'poezja spiewana']"
2018-06-08,TAMAGOTCHI,Taconafide & Dawid Podsiadło,8,6,6,['Other']
2018-06-08,CHWYTAJ DZIEŃ,Kayah i Zbigniew Wodecki,7,4,7,['Other']
2018-06-08,JA PAS!,Nosowska,4,7,8,"['polish alternative', 'polish pop']"
2018-06-08,OD JOKOHAMY DO FUJISAWY,Artur Andrus,6,11,9,"['classic polish pop', 'poezja spiewana']"
2018-06-08,NIE RAJ,Lao Che,9,22,10,"['polish alternative', 'polish alternative rock', 'polish reggae']"
