2015-01-30,ZIARNO PRAWDY,Nosowska,22,2,11,"['polish alternative', 'polish pop']"
2015-01-30,NIE MAM DLA CIEBIE MIŁOŚCI,Skubas,11,37,12,"['polish alternative', 'polish indie']"
2015-01-30,ROCK OR BUST,AC/DC,13,10,13,"['australian rock', 'hard rock', 'rock']"
2015-01-30,SAVE ME NOW,Billy Idol,16,5,14,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']"
2015-01-30,EVERY BREAKING WAVE,U2,15,11,15,"['irish rock', 'permanent wave', 'rock']"
2015-01-30,KUP SOBIE PSA,Piotr Bukartyk,12,15,16,"['classic polish pop', 'poezja spiewana']"
2015-01-30,TRI ROHY PENALTA,Jaromir Nohavica,14,8,17,"['czech folk', 'czech rock', 'czech singer-songwriter']"
2015-01-30,IT TAKES A LOT TO KNOW A MAN,Damien Rice,23,3,18,"['acoustic pop', 'irish rock', 'irish singer-songwriter', 'neo mellow', 'singer-songwriter']"
2015-01-30,ALONE IN MY HOME,Jack White,21,2,19,"['alternative rock', 'blues rock', 'garage rock', 'garage rock revival', 'modern blues rock', 'modern rock', 'punk blues', 'rock']"
2015-01-30,CZAS KTÓRY POZOSTAŁ,Artur Rojek,19,19,20,"['polish alternative', 'polish indie', 'polish pop']"
2015-01-30,PLAY BALL,AC/DC,18,17,21,"['australian rock', 'hard rock', 'rock']"
2015-01-30,BRZASK,Skubas,17,9,22,"['polish alternative', 'polish indie']"
2015-01-30,DOBRY WIECZÓR,Voo Voo,20,11,23,"['classic polish pop', 'polish alternative', 'polish blues', 'polish post-punk', 'polish rock']"
2015-01-30,GDYBYM,Voo Voo,N,1,24,"['classic polish pop', 'polish alternative', 'polish blues', 'polish post-punk', 'polish rock']"
2015-01-30,25 CENTS FOR A RIFF,Acid Drinkers,24,4,25,"['polish metal', 'polish punk', 'polish thrash metal']"
2015-01-30,VIOLET MOUNTAIN TOPS,Bokka,26,4,26,"['polish alternative', 'polish electronica', 'polish indie']"
2015-01-30,LOOP DE LI,Bryan Ferry,29,3,27,"['art rock', 'classic rock', 'classic uk pop', 'glam rock', 'melancholia', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'solo wave', 'sophisti-pop']"
2015-01-30,THIRD DAY OF A SEVEN DAY BINGE,Marilyn Manson,30,4,28,"['alternative metal', 'industrial', 'industrial metal', 'industrial rock', 'nu metal']"
2015-01-30,SOBOTA,Pablopavo,25,9,29,"['polish alternative', 'polish reggae']"
2015-01-30,PÓJDĘ WSZĘDZIE Z TOBĄ,Mika Urbaniak feat. Urszula Dudziak,N,1,30,['Other']
2015-02-06,ŚLADY,Fisz Emade Tworzywo feat. Justyna Święs,2,11,1,['Other']
2015-02-06,ŻURAWIE ORIGAMI,Mela Koteluk,3,14,2,"['poezja spiewana', 'polish alternative', 'polish pop']"
2015-02-06,TAKE ME TO CHURCH,Hozier,1,14,3,"['irish singer-songwriter', 'modern rock', 'pop']"
2015-02-06,ROZBITY DZBAN,KSU,5,15,4,['japanese edm']
2015-02-06,GŁUPI JA,Organek,4,13,5,"['polish alternative', 'polish alternative rock', 'polish pop']"
2015-02-06,PYŁ,Fisz Emade Tworzywo feat. Justyna Święs,6,19,6,['Other']
2015-02-06,BERYL,Mark Knopfler,7,4,7,"['album rock', 'classic rock', 'folk rock', 'mellow gold']"
2015-02-06,NAZYWAM SIĘ NIEBO,Natalia Przybysz,8,11,8,"['poezja spiewana', 'polish alternative', 'polish pop']"
2015-02-06,TU,Lao Che,N,1,9,"['polish alternative', 'polish alternative rock', 'polish reggae']"
2015-02-06,BLACK AND BLUE,Archive,9,6,10,"['electronica', 'trip hop']"
2015-02-06,LOUDER THAN WORDS,Pink Floyd,10,18,11,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
2015-02-06,NIE MAM DLA CIEBIE MIŁOŚCI,Skubas,12,38,12,"['polish alternative', 'polish indie']"
2015-02-06,SAVE ME NOW,Billy Idol,14,6,13,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']"
2015-02-06,ZIARNO PRAWDY,Nosowska,11,3,14,"['polish alternative', 'polish pop']"
2015-02-06,ROCK OR BUST,AC/DC,13,11,15,"['australian rock', 'hard rock', 'rock']"
2015-02-06,EVERY BREAKING WAVE,U2,15,12,16,"['irish rock', 'permanent wave', 'rock']"
2015-02-06,KUP SOBIE PSA,Piotr Bukartyk,16,16,17,"['classic polish pop', 'poezja spiewana']"
2015-02-06,GDYBYM,Voo Voo,24,2,18,"['classic polish pop', 'polish alternative', 'polish blues', 'polish post-punk', 'polish rock']"
2015-02-06,SERCE NA PATYKU,Piotr Bukartyk,N,1,19,"['classic polish pop', 'poezja spiewana']"
2015-02-06,PLAY BALL,AC/DC,21,18,20,"['australian rock', 'hard rock', 'rock']"
2015-02-06,ALONE IN MY HOME,Jack White,19,3,21,"['alternative rock', 'blues rock', 'garage rock', 'garage rock revival', 'modern blues rock', 'modern rock', 'punk blues', 'rock']"
2015-02-06,TRI ROHY PENALTA,Jaromir Nohavica,17,9,22,"['czech folk', 'czech rock', 'czech singer-songwriter']"
2015-02-06,CZAS KTÓRY POZOSTAŁ,Artur Rojek,20,20,23,"['polish alternative', 'polish indie', 'polish pop']"
2015-02-06,IT TAKES A LOT TO KNOW A MAN,Damien Rice,18,4,24,"['acoustic pop', 'irish rock', 'irish singer-songwriter', 'neo mellow', 'singer-songwriter']"
2015-02-06,BRZASK,Skubas,22,10,25,"['polish alternative', 'polish indie']"
2015-02-06,DOBRY WIECZÓR,Voo Voo,23,12,26,"['classic polish pop', 'polish alternative', 'polish blues', 'polish post-punk', 'polish rock']"
2015-02-06,THIRD DAY OF A SEVEN DAY BINGE,Marilyn Manson,28,5,27,"['alternative metal', 'industrial', 'industrial metal', 'industrial rock', 'nu metal']"
2015-02-06,SOBOTA,Pablopavo,29,10,28,"['polish alternative', 'polish reggae']"
2015-02-06,ORPHAN,Toto,N,1,29,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
2015-02-06,IN THE CLEAR,Foo Fighters,N,1,30,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
2015-02-13,ŚLADY,Fisz Emade Tworzywo feat. Justyna Święs,1,12,1,['Other']
2015-02-13,TU,Lao Che,9,2,2,"['polish alternative', 'polish alternative rock', 'polish reggae']"
