,Unnamed: 0,artist_uri,genres
161,161,7J2lZBANizgPNfUzux31PV,"['neo mellow', 'permanent wave', 'pop rock']"
162,162,4mxWe1mtYIYfP040G38yvS,"['country', 'contemporary country', 'country road']"
163,163,7y1GT7SdgGiFLWoktv2TSw,['boy band']
164,164,6sQVeggRv1AhrMzuCjhCZe,"['country', 'contemporary country', 'country dawn', 'country road']"
165,165,7aBzpmFXB4WWpPl2F7RjBe,['rap kreyol']
166,166,1KCSPY1glIKqW2TotWuXOR,"['pop', 'dance pop']"
167,167,2bA6fzP0lMAQ4kz6CF61w8,"['country', 'contemporary country', 'country road', 'oklahoma country']"
168,168,7dGJo4pcD2V6oG8kP0tJRR,"['rap', 'hip hop', 'detroit hip hop']"
169,169,3zTOe1BtyTkwNvYZOxXktX,"['r&b', 'contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'urban contemporary']"
170,170,4jWzNq3sdzSpqn7BnzvIKn,"['rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'hardcore hip hop', 'southern hip hop', 'east coast hip hop']"
171,171,7C9ZVDO4Ubwssa6bB7475f,[]
172,172,0u2FHSq3ln94y5Q57xazwf,"['country', 'australian country', 'australian pop', 'contemporary country', 'country road']"
173,173,7mPcfx7PhnBh6n4HMCd61A,"['country', 'contemporary country', 'country road', 'country rock']"
174,174,4iSKnRZAxkmqNok6tv10Se,"['alternative metal', 'funk metal', 'nu metal', 'rap rock']"
175,175,3OsUvoKmZA2gw8rETtxGlz,['dance pop']
176,176,0a1gHP0HAqALbEyxaD5Ngn,"['country', 'contemporary country', 'country road']"
177,177,165ZgPlLkK7bf5bDoFc6Sb,"['alternative metal', 'funk metal', 'nu metal', 'rap metal']"
178,178,0le01dl1WllSHhjEXRl4in,"['r&b', 'canadian pop', 'contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'quiet storm', 'urban contemporary']"
179,179,2mpeljBig2IXLXRAFO9AAs,['pop rock']
180,180,4WC2Edj7Ruq94JH2jkC5hB,"['r&b', 'contemporary r&b', 'urban contemporary']"
181,181,4v0y12yBFdD5V31vo95Dco,[]
182,182,4tujQJicOnuZRLiBFdp3Ou,"['rap', 'g funk', 'gangster rap', 'hip hop', 'pop rap', 'detroit hip hop', 'hardcore hip hop', 'west coast rap']"
183,183,4sbB4Yy6Qig51pKCIKSLw3,"['r&b', 'contemporary r&b', 'hip pop', 'neo soul', 'quiet storm', 'urban contemporary']"
184,184,4L3GTE04bW5N7azA9QPhjA,"['dancehall', 'soca', 'jamaican dancehall', 'lovers rock', 'reggae fusion']"
185,185,49FeZO3eSrJs7oH7lYLU1r,"['r&b', 'contemporary r&b', 'hip pop', 'neo soul', 'quiet storm', 'urban contemporary']"
